Trial,Dataset,nTrain,nFeatures,nTest,Model,Time,Accuracy (train),Accuracy (test),C,degree,gamma,kernel,Number of support vectors
1,mnist,1000,784,10000,svc-from-scratch,45.2506,0.877,0.8379,0.001,1,1.0,linear,[ 205 232 214 221 216 205 208 220 208 214 ]
2,mnist,1000,784,10000,sklearn,2.3696,0.817,0.7828,0.001,1,1.0,linear,[ 89 102  98 101  97  90  94 104  98  99]
3,mnist,1000,784,10000,svc-from-scratch,47.3012,1.0,0.8498,1.0,1,1.0,linear,[ 85 68 113 150 108 164 91 99 143 138 ]
4,mnist,1000,784,10000,sklearn,1.1207,1.0,0.8918,1.0,1,1.0,linear,[40 49 61 64 58 73 48 63 59 60]
5,mnist,1000,784,10000,svc-from-scratch,46.4403,1.0,0.8498,1000.0,1,1.0,linear,[ 85 68 113 150 108 164 91 99 143 138 ]
6,mnist,1000,784,10000,sklearn,1.1099,1.0,0.8918,1000.0,1,1.0,linear,[40 49 61 64 58 73 48 63 59 60]
7,mnist,1000,784,10000,svc-from-scratch,47.0408,1.0,0.9214,1.0,2,1.0,poly,[ 137 91 170 202 163 209 132 154 218 209 ]
8,mnist,1000,784,10000,sklearn,1.0954,1.0,0.9139,1.0,2,1.0,poly,[38 43 62 64 62 73 46 62 57 61]
9,mnist,1000,784,10000,svc-from-scratch,48.4084,1.0,0.9156,1.0,3,1.0,poly,[ 182 119 219 233 225 243 176 201 259 255 ]
10,mnist,1000,784,10000,sklearn,1.1068,1.0,0.8972,1.0,3,1.0,poly,[37 35 66 65 62 70 41 63 54 55]
11,mnist,1000,784,10000,svc-from-scratch,48.9487,1.0,0.8988,1.0,4,1.0,poly,[ 239 151 256 255 273 282 213 242 318 299 ]
12,mnist,1000,784,10000,sklearn,1.047,1.0,0.8626,1.0,4,1.0,poly,[37 36 66 68 61 72 42 63 55 58]
13,mnist,1000,784,10000,svc-from-scratch,57.0309,1.0,0.1135,1.0,1,0.001,rbf,[ 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 ]
14,mnist,1000,784,10000,sklearn,4.3012,0.862,0.8283,1.0,1,0.001,rbf,[ 77  89  90  96  94  90  85 101  92  99]
15,mnist,1000,784,10000,svc-from-scratch,57.1568,1.0,0.1135,1.0,1,1.0,rbf,[ 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 ]
16,mnist,1000,784,10000,sklearn,6.213,1.0,0.1135,1.0,1,1.0,rbf,[ 99 112  99 102  97  90  99 105  98  99]
17,mnist,1000,784,10000,svc-from-scratch,55.577,1.0,0.1135,1.0,1,1000.0,rbf,[ 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 ]
18,mnist,1000,784,10000,sklearn,6.2122,1.0,0.1135,1.0,1,1000.0,rbf,[ 99 112  99 102  97  90  99 105  98  99]
